             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
            824234    gengpu covit9_1  acng903 PD       0:00      1 (QOSMaxGRESPerUser)
            824269    gengpu   spie_2  aczd082 PD       0:00      1 (Resources)
            824270    gengpu   spie_3  aczd082 PD       0:00      1 (Priority)
            824352    gengpu mpt30eva  adbt150 PD       0:00      1 (Priority)
            823995    gengpu F_s42_di  adbb281  R 1-05:11:51      1 gpu02
            824001    gengpu C_seed46  adbb281  R 1-05:06:30      1 gpu02
            824156    gengpu covit9_1  acng903  R 1-05:08:52      1 gpu02
            824155    gengpu covit9_1  acng903  R 2-04:42:56      1 gpu02
            824268    gengpu   spie_1  aczd082  R 1-01:31:42      1 gpu02
            824267    gengpu   spie_0  aczd082  R 1-01:44:46      1 gpu02
          824256_1     month Randomth  aczg500  R   21:18:41      1 node072
          824256_2     month Randomth  aczg500  R   21:18:41      1 node072
          824256_3     month Randomth  aczg500  R   21:18:41      1 node072
          824256_4     month Randomth  aczg500  R   21:18:41      1 node072
            823831     nodes     Nano  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            823832     nodes     Nano  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            823833     nodes     Nano  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            823834     nodes     Nano  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            823835     nodes     Nano  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            823915     nodes     PAO2  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
  824261_[107-121]     nodes ntau_b_1  xbkx148 PD       0:00      2 (QOSMaxCpuPerUserLimit)
    824262_[1-121]     nodes ntau_d_1  xbkx148 PD       0:00      2 (QOSMaxCpuPerUserLimit)
            824315     nodes     Nano  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            824316     nodes     Nano  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            824317     nodes     Nano  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            824319     nodes     PAO2  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            824320     nodes     PAO2  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            824321     nodes     PAO2  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            824322     nodes     PAO2  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            824323     nodes     PAO2  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            824324     nodes     PAO2  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            824325     nodes     PAO2  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            824326     nodes     PAO2  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            824327     nodes     PAO2  adcd693 PD       0:00      4 (QOSMaxCpuPerUserLimit)
            824371     nodes rtf_mix_  sbgx537 PD       0:00      2 (Priority)
            824372     nodes  rtf_npt  sbgx537 PD       0:00      2 (Priority)
            824373     nodes  rtf_nvt  sbgx537 PD       0:00      2 (Priority)
            824367     nodes heat_nvt  sbgx537 PD       0:00      2 (Priority)
            824368     nodes langevin  sbgx537 PD       0:00      2 (Priority)
            824369     nodes mix_lang  sbgx537 PD       0:00      2 (Priority)
            824370     nodes rft_mix_  sbgx537 PD       0:00      2 (Priority)
            824366     nodes heat_npt  sbgx537 PD       0:00      2 (Resources)
            824409     nodes icml2024  aczd097 PD       0:00      4 (Priority)
            824414     nodes run_DUCT  adgn599 PD       0:00      2 (Priority)
            823830     nodes     Nano  adcd693  R   12:58:28      4 node[021-024]
            823829     nodes     Nano  adcd693  R   17:38:05      4 node[017-020]
            823828     nodes     Nano  adcd693  R 1-16:04:20      4 node[068-071]
            823827     nodes     Nano  adcd693  R 1-17:43:08      4 node[052-055]
        824261_106     nodes ntau_b_1  xbkx148  R      51:41      2 node[061-062]
        824261_105     nodes ntau_b_1  xbkx148  R    1:08:27      2 node[025,047]
        824261_104     nodes ntau_b_1  xbkx148  R    1:18:10      2 node[036,047]
        824261_103     nodes ntau_b_1  xbkx148  R    1:41:10      2 node[047,065]
        824261_102     nodes ntau_b_1  xbkx148  R    1:55:22      2 node[060-061]
        824261_101     nodes ntau_b_1  xbkx148  R    2:17:22      2 node[016,047]
        824261_100     nodes ntau_b_1  xbkx148  R    2:47:21      2 node[012,047]
         824261_99     nodes ntau_b_1  xbkx148  R    2:54:07      2 node[013,047]
         824261_98     nodes ntau_b_1  xbkx148  R    3:00:40      2 node[001,047]
         824261_97     nodes ntau_b_1  xbkx148  R    3:38:03      2 node[066-067]
         824261_96     nodes ntau_b_1  xbkx148  R    3:46:50      2 node[035-036]
         824261_95     nodes ntau_b_1  xbkx148  R    4:06:14      2 node[034-035]
         824261_94     nodes ntau_b_1  xbkx148  R    4:26:30      2 node[046-047]
         824261_93     nodes ntau_b_1  xbkx148  R    4:34:12      2 node[047,067]
         824261_92     nodes ntau_b_1  xbkx148  R    4:56:12      2 node[047,056]
            824364     nodes heat_mix  sbgx537  R    2:07:40      2 node[004-005]
            824365     nodes heat_mix  sbgx537  R    2:07:40      2 node[006-007]
            824345     nodes static0d  addp878  R    6:22:53      4 node[029-031,045]
            824363     nodes cool_nvt  sbgx537  R    6:50:53      2 node[032,064]
            824344     nodes s22v09ag  sbrt712  R   10:25:26      1 node033
            824221     nodes mocean_8  sbrs517  R 1-05:52:53      3 node[040-042]
            824291     nodes cool_npt  sbgx537  R   16:11:49      2 node[008-009]
            824220     nodes   mocean  sbrs517  R 1-13:15:20      3 node[049-051]
            824333     nodes s22v08bg  sbrt712  R   16:11:49      1 node010
            824339     nodes  s2208d2  sbrt712  R   16:11:49      2 node[027,063]
            824265     nodes static5d  addp878  R   21:14:10      4 node[014,026,044,048]
            824217 preemptgp    pre_0  aczd082 PD       0:00      1 (QOSMaxJobsPerUserLimit)
            824216 preemptgp    pre_0  aczd082 PD       0:00      1 (QOSMaxJobsPerUserLimit)
            824215 preemptgp    pre_0  aczd082 PD       0:00      1 (QOSMaxJobsPerUserLimit)
            824233 preemptgp fatvgg_n  acng903  R 1-05:13:30      1 gpu01
            824214 preemptgp    pre_0  aczd082  R 1-18:20:25      1 gpu03
            824210 preemptgp    pre_0  aczd082  R 1-18:26:38      1 gpu03
